Currency units per SDR for June 2023;;;;;;;;;;;
Currency;June 01, 2023;June 02, 2023;June 05, 2023;June 06, 2023;June 07, 2023;June 08, 2023;June 09, 2023;June 12, 2023;June 13, 2023;June 14, 2023;June 15, 2023
Chinese yuan;9.472300;9.437520;9.454030;9.461630;9.478670;9.484250;9.487580;9.519280;9.532890;9.550730;9.546810
Euro;1.243320;1.239570;1.242420;1.244120;1.241230;1.238790;1.235710;1.238100;1.235340;1.233980;1.233600
Japanese yen;185.466000;185.114000;186.127000;185.462000;185.500000;186.040000;185.241000;185.755000;186.196000;186.773000;187.221000
U.K. pound;1.066800;1.064940;1.071820;1.070550;1.068070;1.067060;1.061770;1.059770;1.060790;1.055020;1.053420
U.S. dollar;1.329980;1.334150;1.328150;1.329090;1.330230;1.330090;1.332100;1.332820;1.333310;1.333810;1.334630
Algerian dinar;181.851000;181.737000;181.381000;181.423000;181.751000;181.544000;NA;181.579000;181.354000;181.454000;181.400000
Australian dollar;2.042670;2.017770;2.010220;1.995330;1.991960;1.996530;NA;NA;1.972060;1.971050;1.956640
Botswana pula;18.344600;18.276100;18.218800;18.082900;18.147700;18.071900;NA;17.914200;17.848800;17.903400;17.795000
Brazilian real;6.695680;6.611000;6.538470;6.550550;6.533130;NA;NA;6.507620;6.470150;6.463080;6.435050
Brunei dollar;1.797600;NA;1.793670;1.793350;1.793010;1.793360;NA;1.791180;1.788630;1.789970;1.794010
Canadian dollar;1.793080;1.792430;1.784240;1.783510;1.779310;1.776740;NA;1.781450;1.774630;1.773560;1.768650
Chilean peso;1,079.430000;1,073.460000;1,059.820000;1,060.270000;1,061.240000;1,055.390000;NA;1,049.200000;1,075.770000;1,072.890000;1,067.860000
Czech koruna;29.464500;29.327300;29.284400;29.275900;29.344800;29.268700;NA;29.410000;29.411400;29.349100;29.268300
Danish krone;9.259860;9.233270;NA;9.267930;9.246420;9.228670;NA;9.226280;9.206240;9.196760;9.193200
Indian rupee;109.665000;109.824000;109.674000;109.836000;109.789000;109.838000;NA;109.898000;109.852000;109.791000;109.704000
Israeli New Shekel;4.968820;4.996400;4.960640;4.937590;4.861990;4.872130;NA;4.782150;4.743900;4.821720;4.783290
Korean won;1,757.700000;1,762.020000;1,738.280000;NA;1,740.340000;1,729.780000;NA;1,725.870000;1,721.430000;1,703.940000;1,702.850000
Kuwaiti dinar;0.408771;NA;0.408207;NA;0.408712;0.408670;NA;0.409376;0.409526;0.409678;0.409930
Malaysian ringgit;6.133880;6.125090;NA;6.111830;6.127040;6.142360;NA;6.154940;6.160560;6.161510;6.186660
Mauritian rupee;61.096300;60.963300;60.942200;60.914300;60.835000;60.881700;NA;61.332400;61.149700;61.128400;61.132900
Mexican peso;23.364200;23.356100;23.207000;23.151700;23.093800;23.154900;NA;23.073800;22.957500;22.841000;22.923800
New Zealand dollar;2.210740;2.196680;NA;2.187990;2.187150;2.199950;NA;2.178700;2.178960;2.163870;2.165370
Norwegian krone;14.878800;14.682700;14.694800;14.777000;14.643400;14.565700;NA;14.404100;14.359000;14.161200;14.189500
Omani rial;0.511378;NA;0.510673;0.511036;0.511472;0.511420;NA;0.512468;0.512658;0.512849;0.513165
Peruvian sol;4.889020;4.912340;4.878290;4.900380;4.883270;NA;NA;4.864780;4.854580;NA;4.868720
Philippine peso;74.799400;75.004700;74.324600;74.597900;74.764100;74.586200;NA;NA;74.659700;74.755700;74.699300
Polish zloty;5.638980;5.590500;5.569320;5.577400;5.571930;NA;NA;5.487090;5.525080;5.521020;5.499070
Qatari riyal;4.841140;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Russian ruble;107.683000;107.900000;NA;107.989000;108.358000;109.191000;NA;NA;111.518000;112.473000;112.057000
Saudi Arabian riyal;4.987430;NA;4.980550;4.984100;4.988350;4.987850;NA;4.998080;4.999900;5.001780;5.004850
Singapore dollar;1.797600;NA;1.793670;1.793350;1.793010;1.793360;NA;1.791180;1.788630;1.789970;1.794010
South African rand;26.415800;26.059300;25.700300;25.544700;25.479600;25.222500;NA;24.849400;24.873800;24.693300;24.464100
Swedish krona;14.363100;14.384800;14.428800;NA;14.506800;14.469300;NA;14.420300;14.333600;14.252300;14.337000
Swiss franc;1.207960;1.208140;1.209810;1.206220;1.204650;1.209520;1.201350;1.206270;1.208240;1.204090;1.201900
Thai baht;46.248800;46.153600;NA;46.203200;46.261400;46.401600;NA;46.196800;46.064500;46.193600;46.479600
Trinidadian dollar;8.951590;8.990300;NA;8.940950;8.966440;NA;NA;8.974650;8.986740;8.998550;8.984730
U.A.E. dirham;4.884360;NA;NA;4.881100;4.885270;4.884770;NA;4.894790;4.896560;4.898410;4.901410
Uruguayan peso;51.602000;51.688900;51.508400;51.823900;51.817800;51.744600;NA;51.529400;51.235000;50.992800;50.946800
;;;;;;;;;;;
Currency units per SDR for June 2023 Continued;;;;;;;;;;;
;;;;;;;;;;;
Currency;June 16, 2023;;;;;;;;;;
Chinese yuan;9.551550;;;;;;;;;;
Euro;1.222730;;;;;;;;;;
Japanese yen;187.839000;;;;;;;;;;
U.K. pound;1.048110;;;;;;;;;;
U.S. dollar;1.340850;;;;;;;;;;
Algerian dinar;181.598000;;;;;;;;;;
Australian dollar;1.946640;;;;;;;;;;
Botswana pula;17.736100;;;;;;;;;;
Brazilian real;NA;;;;;;;;;;
Brunei dollar;1.793520;;;;;;;;;;
Canadian dollar;NA;;;;;;;;;;
Chilean peso;1,068.610000;;;;;;;;;;
Czech koruna;29.127300;;;;;;;;;;
Danish krone;9.109960;;;;;;;;;;
Indian rupee;109.793000;;;;;;;;;;
Israeli New Shekel;4.764040;;;;;;;;;;
Korean won;1,716.420000;;;;;;;;;;
Kuwaiti dinar;NA;;;;;;;;;;
Malaysian ringgit;6.192030;;;;;;;;;;
Mauritian rupee;61.105300;;;;;;;;;;
Mexican peso;NA;;;;;;;;;;
New Zealand dollar;2.148800;;;;;;;;;;
Norwegian krone;NA;;;;;;;;;;
Omani rial;NA;;;;;;;;;;
Peruvian sol;NA;;;;;;;;;;
Philippine peso;NA;;;;;;;;;;
Polish zloty;5.459260;;;;;;;;;;
Qatari riyal;NA;;;;;;;;;;
Russian ruble;112.162000;;;;;;;;;;
Saudi Arabian riyal;NA;;;;;;;;;;
Singapore dollar;1.793520;;;;;;;;;;
South African rand;NA;;;;;;;;;;
Swedish krona;14.218200;;;;;;;;;;
Swiss franc;1.196100;;;;;;;;;;
Thai baht;46.467100;;;;;;;;;;
Trinidadian dollar;NA;;;;;;;;;;
U.A.E. dirham;NA;;;;;;;;;;
Uruguayan peso;NA;;;;;;;;;;
;;;;;;;;;;;
Notes:;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
The value of the U.S. dollar in terms of the SDR is the reciprocal of the sum of the dollar values, based on market exchange rates, of specified quantities of the SDR basket currencies. See SDR Valuation.;;;;;;;;;;;
;;;;;;;;;;;
These rates are the official rates used by the Fund to conduct operations with member countries. The rates are derived from the currency's representative exchange rate, as reported by the central bank, normally against the U.S. dollar at spot market rates and rounded to six significant digits. See Representative Exchange Rates for Selected Currencies.;;;;;;;;;;;
;;;;;;;;;;;
The value in terms of each national currency of the SDR (shown above) is the reciprocal of the value in terms of the SDR of each national currency, rounded to six significant digits.;;;;;;;;;;;
;;;;;;;;;;;
Exchange rates are published daily except on IMF holidays or whenever the IMF is closed for business.;;;;;;;;;;;